Appliance_Type,Month,Forecast_Complaints,Lo95,Hi95,Model_Order
AC,2026-09-01,1533.7,1320.9,1746.4,"(0, 1, 3)(1, 0, 0, 12)"
AC,2026-10-01,1612.5,1377.0,1847.9,"(0, 1, 3)(1, 0, 0, 12)"
AC,2026-11-01,1471.5,1236.0,1707.0,"(0, 1, 3)(1, 0, 0, 12)"
AC,2026-12-01,1515.7,1257.9,1773.4,"(0, 1, 3)(1, 0, 0, 12)"
AC,2027-01-01,1460.5,1182.3,1738.7,"(0, 1, 3)(1, 0, 0, 12)"
AC,2027-02-01,1444.6,1147.3,1741.8,"(0, 1, 3)(1, 0, 0, 12)"
Microwave,2026-09-01,1542.7,1440.4,1645.1,"(0, 1, 1)(1, 0, 0, 12)"
Microwave,2026-10-01,1611.3,1498.3,1724.4,"(0, 1, 1)(1, 0, 0, 12)"
Microwave,2026-11-01,1627.1,1504.3,1750.0,"(0, 1, 1)(1, 0, 0, 12)"
Microwave,2026-12-01,1633.2,1501.3,1765.1,"(0, 1, 1)(1, 0, 0, 12)"
Microwave,2027-01-01,1653.1,1512.7,1793.5,"(0, 1, 1)(1, 0, 0, 12)"
Microwave,2027-02-01,1652.6,1504.3,1801.0,"(0, 1, 1)(1, 0, 0, 12)"
Refrigerator,2026-09-01,1545.4,1465.6,1625.3,"(0, 1, 1)(0, 0, 0, 12)"
Refrigerator,2026-10-01,1562.6,1473.7,1651.6,"(0, 1, 1)(0, 0, 0, 12)"
Refrigerator,2026-11-01,1579.8,1482.6,1677.0,"(0, 1, 1)(0, 0, 0, 12)"
Refrigerator,2026-12-01,1597.0,1492.2,1701.8,"(0, 1, 1)(0, 0, 0, 12)"
Refrigerator,2027-01-01,1614.2,1502.3,1726.1,"(0, 1, 1)(0, 0, 0, 12)"
Refrigerator,2027-02-01,1631.4,1512.8,1750.0,"(0, 1, 1)(0, 0, 0, 12)"
Washing Machine,2026-09-01,1510.5,1426.0,1594.9,"(0, 1, 1)(0, 0, 1, 12)"
Washing Machine,2026-10-01,1526.5,1438.5,1614.6,"(0, 1, 1)(0, 0, 1, 12)"
Washing Machine,2026-11-01,1506.0,1414.4,1597.5,"(0, 1, 1)(0, 0, 1, 12)"
Washing Machine,2026-12-01,1548.7,1453.8,1643.6,"(0, 1, 1)(0, 0, 1, 12)"
Washing Machine,2027-01-01,1563.1,1465.0,1661.1,"(0, 1, 1)(0, 0, 1, 12)"
Washing Machine,2027-02-01,1609.6,1508.4,1710.8,"(0, 1, 1)(0, 0, 1, 12)"
Water Heater,2026-09-01,1407.9,1232.6,1583.2,"(0, 1, 2)(0, 0, 0, 12)"
Water Heater,2026-10-01,1399.5,1216.3,1582.6,"(0, 1, 2)(0, 0, 0, 12)"
Water Heater,2026-11-01,1414.1,1206.8,1621.5,"(0, 1, 2)(0, 0, 0, 12)"
Water Heater,2026-12-01,1428.8,1199.9,1657.8,"(0, 1, 2)(0, 0, 0, 12)"
Water Heater,2027-01-01,1443.5,1194.8,1692.2,"(0, 1, 2)(0, 0, 0, 12)"
Water Heater,2027-02-01,1458.2,1191.2,1725.2,"(0, 1, 2)(0, 0, 0, 12)"
Water Purifier,2026-09-01,1859.8,1649.5,2070.0,"(0, 1, 1)(0, 0, 0, 12)"
Water Purifier,2026-10-01,1881.8,1664.4,2099.2,"(0, 1, 1)(0, 0, 0, 12)"
Water Purifier,2026-11-01,1903.8,1679.5,2128.1,"(0, 1, 1)(0, 0, 0, 12)"
Water Purifier,2026-12-01,1925.8,1694.8,2156.8,"(0, 1, 1)(0, 0, 0, 12)"
Water Purifier,2027-01-01,1947.8,1710.3,2185.3,"(0, 1, 1)(0, 0, 0, 12)"
Water Purifier,2027-02-01,1969.8,1726.0,2213.6,"(0, 1, 1)(0, 0, 0, 12)"
