Part_Category_Needed,City,Date
Motor,Hyderabad,2022-05-17
Motor,Hyderabad,2024-05-16
Motor,Hyderabad,2025-06-18
Motor,Hyderabad,2025-11-24
Motor,Hyderabad,2025-11-26
Motor,Hyderabad,2025-11-28
Motor,Hyderabad,2025-12-16
Motor,Hyderabad,2026-01-23
Motor,Hyderabad,2026-01-24
Motor,Hyderabad,2026-01-26
Motor,Hyderabad,2026-02-16
Motor,Hyderabad,2026-06-11
Motor,Hyderabad,2026-06-12
Motor,Hyderabad,2026-06-13
Motor,Hyderabad,2026-07-03
Motor,Hyderabad,2026-07-04
Motor,Hyderabad,2026-07-27
Thermostat,Bengaluru,2024-10-20
Thermostat,Bengaluru,2024-12-17
Thermostat,Bengaluru,2024-12-18
Thermostat,Bengaluru,2025-03-04
Thermostat,Bengaluru,2025-03-05
Thermostat,Bengaluru,2025-03-21
Thermostat,Bengaluru,2025-03-22
Thermostat,Bengaluru,2025-03-23
Thermostat,Bengaluru,2025-08-17
Thermostat,Bengaluru,2025-08-18
Thermostat,Bengaluru,2025-09-24
Thermostat,Bengaluru,2025-11-27
Thermostat,Bengaluru,2025-12-15
Thermostat,Bengaluru,2025-12-16
Thermostat,Bengaluru,2025-12-17
Thermostat,Bengaluru,2025-12-18
Thermostat,Bengaluru,2026-02-14
Thermostat,Bengaluru,2026-02-15
Thermostat,Bengaluru,2026-02-16
Thermostat,Bengaluru,2026-03-04
Thermostat,Bengaluru,2026-03-05
Relay,Bengaluru,2022-09-18
Relay,Bengaluru,2024-07-15
Relay,Bengaluru,2024-09-16
Relay,Bengaluru,2024-09-19
Relay,Bengaluru,2024-11-25
Relay,Bengaluru,2025-02-23
Relay,Bengaluru,2025-03-07
Relay,Bengaluru,2025-03-09
Relay,Bengaluru,2025-03-10
Relay,Bengaluru,2025-03-11
Relay,Bengaluru,2025-03-23
Relay,Bengaluru,2025-03-25
Relay,Bengaluru,2025-03-27
Relay,Bengaluru,2025-04-16
Relay,Bengaluru,2025-06-17
Relay,Bengaluru,2025-07-21
Relay,Bengaluru,2025-07-24
Relay,Bengaluru,2025-07-26
Relay,Bengaluru,2025-12-06
Relay,Bengaluru,2025-12-08
Relay,Bengaluru,2025-12-09
Relay,Bengaluru,2025-12-10
Relay,Bengaluru,2026-01-17
Relay,Bengaluru,2026-01-22
Relay,Bengaluru,2026-04-06
Relay,Bengaluru,2026-04-07
Membrane,Mumbai,2024-06-13
Membrane,Mumbai,2024-06-14
Membrane,Mumbai,2024-07-21
Membrane,Mumbai,2025-07-17
Membrane,Mumbai,2025-07-18
Membrane,Mumbai,2025-07-19
Membrane,Mumbai,2025-10-23
Membrane,Mumbai,2025-10-24
Membrane,Mumbai,2025-10-25
Membrane,Mumbai,2025-11-14
Membrane,Mumbai,2026-02-16
Membrane,Mumbai,2026-02-17
Membrane,Mumbai,2026-02-18
Membrane,Mumbai,2026-03-26
Membrane,Mumbai,2026-03-28
Membrane,Mumbai,2026-04-15
Membrane,Mumbai,2026-04-16
Membrane,Mumbai,2026-04-17
Membrane,Mumbai,2026-05-04
Membrane,Mumbai,2026-05-18
Membrane,Mumbai,2026-05-19
Membrane,Mumbai,2026-05-20
Membrane,Mumbai,2026-06-18
